ID,Тип покрытия,Площадь(px²),Длина(px),Ширина(px),Компактность
1,асфальт,585672,39840,69.9,0.018
2,асфальт,124,24,15.6,0.441
3,асфальт,304,80,12.0,0.233
4,асфальт,144,20,12.0,0.564
5,асфальт,138,11,12.4,0.753
6,асфальт,638,129,14.4,0.218
7,асфальт,108,41,8.0,0.144
8,асфальт,1204,196,20.0,0.125
9,асфальт,118,38,4.4,0.164
10,асфальт,128,35,7.2,0.250
11,асфальт,282,56,10.4,0.284
12,асфальт,170,15,10.0,0.611
13,асфальт,178,19,10.8,0.514
14,асфальт,840,91,14.4,0.188
15,асфальт,282,46,11.6,0.586
16,асфальт,206,38,10.8,0.259
17,асфальт,224,47,8.4,0.230
18,асфальт,840,202,10.0,0.057
19,асфальт,105,25,8.0,0.407
20,асфальт,170,46,8.8,0.409
21,асфальт,119,28,8.8,0.402
22,асфальт,184,44,7.2,0.180
23,асфальт,549,57,23.2,0.536
24,асфальт,110,30,8.0,0.291
25,асфальт,1410,204,16.4,0.117
26,асфальт,152,44,8.0,0.205
27,асфальт,660,159,12.0,0.064
28,асфальт,155,25,10.0,0.390
29,асфальт,1870,335,16.4,0.066
30,асфальт,853,151,12.0,0.099
31,асфальт,250,55,8.8,0.197
32,асфальт,127,21,10.0,0.472
33,асфальт,1246,196,12.4,0.094
34,асфальт,150,28,8.8,0.369
35,асфальт,570,114,22.0,0.137
36,асфальт,210,28,11.6,0.512
37,асфальт,670,135,13.2,0.102
38,асфальт,110,25,10.0,0.350
39,брусчатка,917,252,12.4,0.071
40,брусчатка,154,45,10.8,0.357
41,брусчатка,144,33,14.0,0.398
42,брусчатка,146,29,10.0,0.596
43,брусчатка,424,112,10.0,0.105
44,брусчатка,2068,367,26.0,0.075
45,брусчатка,368,121,10.0,0.082
46,брусчатка,128,33,7.2,0.245
47,брусчатка,924,96,20.0,0.350
48,брусчатка,578,82,16.0,0.281
49,брусчатка,512,98,10.4,0.147
50,брусчатка,616,157,12.0,0.081
51,брусчатка,110,20,10.0,0.596
52,брусчатка,513,123,10.0,0.105
53,брусчатка,162,18,12.0,0.616
54,брусчатка,126,21,8.4,0.524
55,брусчатка,102,15,10.0,0.634
56,брусчатка,329,68,11.6,0.217
57,брусчатка,115,47,4.4,0.161
58,брусчатка,152,31,8.8,0.313
59,брусчатка,111,21,8.4,0.547
60,брусчатка,174,40,10.0,0.327
61,брусчатка,168,22,10.0,0.544
62,брусчатка,1524,400,8.8,0.038
63,брусчатка,487,86,16.8,0.278
64,брусчатка,202,56,10.0,0.232
65,брусчатка,230,45,10.0,0.268
66,брусчатка,124,24,8.0,0.436
67,брусчатка,4825,728,20.0,0.084
68,брусчатка,344,72,10.0,0.201
69,брусчатка,326,68,12.0,0.192
70,брусчатка,189,42,10.8,0.297
71,брусчатка,1109,137,20.4,0.328
72,брусчатка,497,89,12.4,0.308
73,брусчатка,16402,1261,47.2,0.226
74,брусчатка,104,26,8.0,0.347
75,брусчатка,3508,499,21.6,0.105
76,брусчатка,183,42,8.0,0.287
77,брусчатка,120,35,8.0,0.232
78,брусчатка,290,71,14.4,0.201
79,брусчатка,252,38,12.8,0.366
80,брусчатка,142,40,8.0,0.223
81,брусчатка,185,44,10.4,0.310
82,брусчатка,292,80,8.4,0.181
83,брусчатка,1372,257,13.2,0.084
84,брусчатка,240,41,10.8,0.318
85,брусчатка,327,68,10.8,0.233
86,брусчатка,484,106,10.0,0.134
87,брусчатка,124,24,8.8,0.466
88,брусчатка,146,36,7.2,0.242
89,брусчатка,494,83,12.8,0.231
90,брусчатка,266,62,10.0,0.309
91,брусчатка,222,49,12.4,0.167
92,брусчатка,288,44,12.8,0.447
93,брусчатка,236,79,7.2,0.085
94,брусчатка,304,68,12.4,0.287
95,брусчатка,416,68,16.0,0.227
96,брусчатка,440,103,15.6,0.175
97,брусчатка,274,53,10.4,0.409
98,брусчатка,173,27,12.0,0.542
99,брусчатка,336,103,10.4,0.089
100,брусчатка,1458,240,16.0,0.142
101,брусчатка,485,86,14.0,0.200
102,брусчатка,186,29,10.8,0.412
103,брусчатка,258,61,10.8,0.230
104,брусчатка,107,35,6.0,0.151
105,брусчатка,157,25,10.0,0.584
106,брусчатка,290,69,8.0,0.140
107,брусчатка,126,33,7.2,0.267
108,брусчатка,102,28,8.4,0.327
109,брусчатка,106,25,8.8,0.301
110,брусчатка,285,68,10.0,0.150
111,брусчатка,102,19,8.0,0.384
112,брусчатка,132,43,7.2,0.157
113,брусчатка,198,54,8.4,0.145
114,брусчатка,998,195,12.8,0.107
115,брусчатка,668,166,10.0,0.060
116,брусчатка,120,28,10.0,0.371
117,брусчатка,216,52,10.4,0.237
118,брусчатка,1742,247,23.6,0.143
119,брусчатка,446,74,12.8,0.245
120,брусчатка,338,105,10.8,0.104
121,брусчатка,412,64,15.2,0.522
122,брусчатка,3450,308,50.8,0.235
123,брусчатка,477,93,11.2,0.158
124,брусчатка,384,72,10.0,0.181
125,брусчатка,1995,380,18.8,0.092
126,брусчатка,935,152,17.2,0.116
127,брусчатка,168,54,6.0,0.127
128,брусчатка,342,106,10.8,0.142
129,брусчатка,185,46,8.0,0.222
130,брусчатка,520,102,10.4,0.178
131,брусчатка,256,58,10.0,0.170
132,брусчатка,206,51,7.2,0.178
133,брусчатка,832,140,14.4,0.260
134,брусчатка,198,28,11.2,0.549
135,брусчатка,384,92,10.0,0.153
136,брусчатка,191,43,8.8,0.205
137,брусчатка,672,133,14.0,0.207
138,брусчатка,320,56,16.8,0.263
139,грунт/грязь,120,47,8.0,0.137
140,грунт/грязь,102,38,6.4,0.195
141,грунт/грязь,126,56,10.0,0.123
142,грунт/грязь,152,35,8.4,0.227
143,грунт/грязь,236,60,10.0,0.162
144,грунт/грязь,204,94,7.2,0.073
145,грунт/грязь,582,86,18.0,0.248
146,грунт/грязь,176,53,8.0,0.286
147,грунт/грязь,138,39,6.0,0.254
148,грунт/грязь,1547,232,30.8,0.251
149,грунт/грязь,233,89,6.4,0.087
150,грунт/грязь,1682,355,18.8,0.054
151,грунт/грязь,2991,530,15.6,0.084
152,грунт/грязь,2840,531,21.2,0.055
153,грунт/грязь,104,63,6.0,0.063
154,грунт/грязь,4120,331,34.0,0.333
155,грунт/грязь,100,39,6.0,0.143
156,грунт/грязь,205,70,10.4,0.112
157,грунт/грязь,189,59,8.0,0.238
158,грунт/грязь,792,185,12.0,0.176
159,грунт/грязь,1367,246,16.4,0.105
160,грунт/грязь,176,35,10.0,0.546
161,грунт/грязь,176,75,8.4,0.111
162,грунт/грязь,382,81,12.4,0.180
163,грунт/грязь,958,128,21.6,0.406
164,грунт/грязь,421,54,18.4,0.417
165,грунт/грязь,3568,412,30.0,0.246
166,грунт/грязь,426,54,18.0,0.538
167,грунт/грязь,5708,628,50.7,0.106
168,грунт/грязь,183,55,8.4,0.132
169,грунт/грязь,698,62,21.2,0.571
170,грунт/грязь,473,82,18.0,0.293
