ID,Тип покрытия,Площадь(px²),Длина(px),Ширина(px),Компактность
1,асфальт/гравий,0,2,2.0,0.000
2,асфальт/гравий,190,39,18.0,0.319
3,асфальт/гравий,4594,814,22.4,0.033
4,асфальт/гравий,1390,216,17.6,0.123
5,асфальт/гравий,1184,224,14.4,0.134
6,асфальт/гравий,200,32,10.4,0.328
7,асфальт/гравий,346,97,10.8,0.182
8,асфальт/гравий,0,2,2.0,0.000
9,асфальт/гравий,4,8,2.0,0.132
10,асфальт/гравий,6,2,4.0,0.754
11,асфальт/гравий,4,2,4.0,0.785
12,асфальт/гравий,0,5,2.0,0.000
13,асфальт/гравий,0,2,2.0,0.000
14,асфальт/гравий,4696,635,21.2,0.096
15,асфальт/гравий,0,1,2.0,0.000
16,асфальт/гравий,52,15,6.0,0.502
17,асфальт/гравий,0,1,2.0,0.000
18,асфальт/гравий,0,7,2.0,0.000
19,асфальт/гравий,0,1,2.0,0.000
20,асфальт/гравий,0,2,2.0,0.214
21,асфальт/гравий,0,2,2.0,0.000
22,асфальт/гравий,2,4,2.0,0.539
23,асфальт/гравий,348,49,15.6,0.409
24,асфальт/гравий,21,10,4.4,0.354
25,асфальт/гравий,0,4,2.0,0.000
26,асфальт/гравий,611,132,12.0,0.121
27,асфальт/гравий,0,2,2.0,0.000
28,асфальт/гравий,317,49,12.0,0.314
29,асфальт/гравий,300,74,10.4,0.146
30,асфальт/гравий,4,2,4.0,0.785
31,асфальт/гравий,0,1,2.0,0.000
32,асфальт/гравий,22,5,4.4,0.609
33,асфальт/гравий,0,1,2.0,0.000
34,асфальт/гравий,4,2,4.0,0.785
35,асфальт/гравий,0,4,2.0,0.000
36,асфальт/гравий,0,1,2.0,0.000
37,асфальт/гравий,0,1,2.0,0.000
38,асфальт/гравий,142,43,8.4,0.210
39,асфальт/гравий,64,17,7.2,0.455
40,асфальт/гравий,0,2,2.0,0.214
41,асфальт/гравий,16,17,4.0,0.125
42,асфальт/гравий,0,1,2.0,0.000
43,асфальт/гравий,0,1,2.0,0.000
44,асфальт/гравий,0,1,2.0,0.000
45,асфальт/гравий,19,6,4.4,0.673
46,асфальт/гравий,60,15,7.2,0.605
47,асфальт/гравий,2,6,2.0,0.126
48,асфальт/гравий,56,17,4.4,0.376
49,асфальт/гравий,10,4,4.0,0.674
50,асфальт/гравий,108,40,6.4,0.167
51,асфальт/гравий,18,14,4.0,0.231
52,асфальт/гравий,0,2,2.0,0.000
53,асфальт/гравий,742,138,14.4,0.127
54,асфальт/гравий,2,3,2.0,0.354
55,асфальт/гравий,9,22,2.8,0.069
56,асфальт/гравий,8,3,4.0,0.820
57,асфальт/гравий,834,199,13.2,0.070
58,асфальт/гравий,32,13,4.4,0.363
59,асфальт/гравий,16,4,6.0,0.785
60,асфальт/гравий,0,1,2.0,0.000
61,асфальт/гравий,0,1,2.0,0.000
62,асфальт/гравий,5336,894,16.4,0.028
63,асфальт/гравий,2,4,2.0,0.213
64,асфальт/гравий,102,29,8.0,0.300
65,асфальт/гравий,0,1,2.0,0.000
66,асфальт/гравий,2,5,2.0,0.354
67,асфальт/гравий,86,24,6.4,0.390
68,асфальт/гравий,0,1,2.0,0.000
69,асфальт/гравий,0,3,2.0,0.000
70,асфальт/гравий,1378,166,22.4,0.181
71,асфальт/гравий,5,7,4.0,0.222
72,асфальт/гравий,4,2,4.0,0.785
73,асфальт/гравий,0,3,2.0,0.000
74,асфальт/гравий,7,8,4.0,0.311
75,асфальт/гравий,0,2,2.0,0.000
76,асфальт/гравий,4458,996,15.6,0.015
77,асфальт/гравий,60,23,6.0,0.300
78,асфальт/гравий,0,2,2.0,0.000
79,асфальт/гравий,144,32,8.0,0.359
80,асфальт/гравий,0,1,2.0,0.000
81,асфальт/гравий,142,61,8.4,0.115
82,асфальт/гравий,0,1,2.0,0.000
83,асфальт/гравий,0,1,2.0,0.000
84,асфальт/гравий,0,2,2.0,0.000
